trip_id,start_time,end_time,headway_secs,exact_times
10A-L01,04:30:00,20:30:00,4660,0
10D-R01,04:30:00,21:30:00,2000,0
10D-R02,04:30:00,21:15:00,1800,0
10H-L04,04:30:00,21:15:00,1400,0
10H-R07,04:30:00,21:30:00,1600,0
10H-R09,04:30:00,21:00:00,6400,0
10-P21,05:00:00,16:45:00,10100,0
10-P22,05:00:00,19:30:00,3100,0
10-P23,05:00:00,10:15:00,2700,0
10-R01,04:30:00,23:00:00,500,0
10-R02,04:30:00,22:15:00,400,0
11D-R02,04:30:00,22:00:00,900,0
11D-R03,04:30:00,22:00:00,900,0
11M-L01,05:00:00,21:00:00,6400,0
11Q-L04,04:30:00,21:30:00,1100,0
11Q-R05,05:00:00,21:30:00,19500,0
11Q-R06,05:00:00,22:00:00,32400,0
11-R02,04:30:00,22:45:00,500,0
11-R03,04:30:00,22:15:00,500,0
12A-L02,05:00:00,20:15:00,26000,0
12A-R03,05:00:00,20:15:00,25900,0
12B-R03,04:30:00,22:30:00,1000,0
12B-R04,04:30:00,21:15:00,1000,0
12F-L01,05:00:00,19:45:00,12900,0
12H-R01,04:30:00,21:45:00,8600,0
12H-R02,20:00:00,20:30:00,1800,0
12-L01,05:00:00,22:00:00,32400,0
12-P03,16:00:00,18:00:00,4300,0
12P-L01,05:00:00,21:45:00,3300,0
12P-R01,05:00:00,21:45:00,19900,0
12P-R02,04:30:00,08:30:00,12600,0
12-R01,04:30:00,23:00:00,900,0
12-R02,04:30:00,23:30:00,1000,0
12-R03,04:30:00,22:15:00,2600,0
12-R04,04:30:00,22:15:00,2300,0
13B-L01,04:30:00,21:45:00,1000,0
13-L01,04:30:00,22:15:00,800,0
13-L02,04:30:00,22:15:00,800,0
13-L03,05:00:00,22:00:00,32400,0
13-L04,16:00:00,18:00:00,5600,0
13-L05,05:00:00,22:00:00,32400,0
13-L06,05:00:00,22:00:00,32400,0
13-L08,15:00:00,21:30:00,1200,0
13-R02,04:30:00,21:00:00,9500,0
14A-L01,04:30:00,21:45:00,800,0
14A-R02,04:30:00,12:15:00,25600,0
14B-L01,04:30:00,21:00:00,14300,0
14B-R01,04:30:00,21:45:00,1500,0
14B-R02,04:30:00,21:15:00,1200,0
14-L02,05:00:00,22:45:00,1000,0
14-R05,04:30:00,22:00:00,3600,0
14-R07,08:00:00,09:15:00,2700,0
1B-L01,05:00:00,22:00:00,800,0
1C-R01,05:00:00,21:30:00,1100,0
1C-R02,05:00:00,22:30:00,1100,0
1E-R01,05:00:00,22:15:00,700,0
1E-R02,05:00:00,22:30:00,700,0
1F-L01,04:30:00,21:45:00,800,0
1H-L01,04:30:00,22:45:00,700,0
1H-L02,05:00:00,18:15:00,44000,0
1H-R01,19:00:00,19:30:00,1800,0
1H-R02,05:00:00,17:45:00,43000,0
1K-R01,05:00:00,09:00:00,2500,0
1K-R02,15:00:00,19:00:00,2500,0
1M-R01,05:00:00,22:00:00,1400,0
1M-R02,05:00:00,22:15:00,1400,0
1N-P22,05:00:00,20:45:00,4300,0
1N-R05,04:30:00,22:15:00,1200,0
1N-R06,05:00:00,22:45:00,1200,0
1-P23,05:00:00,21:45:00,1600,0
1-P28,05:00:00,21:45:00,800,0
