trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,shape_dist_traveled,stop_headsign,timepoint
10B-R01,05:00:00,05:00:10,B03270P,0,0,,,0
10B-R01,05:01:34,05:01:44,B05785P,1,0,,,0
10B-R01,05:02:59,05:03:09,B05536P,2,0,,,0
10B-R01,05:06:48,05:06:58,B02723P,3,0,,,0
10B-R02,05:00:00,05:00:10,B02723P,0,0,,,0
10B-R02,05:03:01,05:03:11,B06573P,1,0,,,0
10B-R02,05:04:17,05:04:27,B00264P,2,0,,,0
10B-R02,05:08:02,05:08:12,B00265P,3,0,,,0
10B-R02,05:09:02,05:09:12,B05535P,4,0,,,0
10B-R02,05:10:35,05:10:45,B05784P,5,0,,,0
10B-R02,05:12:00,05:12:10,B03270P,6,0,,,0
10D-R01,05:00:00,05:00:10,G00511,0,0,,,0
10D-R01,05:05:25,05:05:35,G00509,1,0,,,0
10D-R01,05:08:11,05:08:21,G00503,2,0,,,0
10D-R01,05:10:39,05:10:49,G00500,3,0,,,0
10D-R01,05:15:44,05:15:54,G00497,4,0,,,0
10D-R01,05:23:30,05:23:40,G00494,5,0,,,0
10D-R01,05:34:41,05:34:51,G00489,6,0,,,0
10D-R01,05:37:11,05:37:21,G00485,7,0,,,0
10D-R01,05:41:51,05:42:01,G00479,8,0,,,0
10D-R01,05:43:27,05:43:37,G00477,9,0,,,0
10D-R01,05:49:00,05:49:10,G00473,10,0,,,0
10D-R01,05:51:55,05:52:05,G00469,11,0,,,0
10D-R01,05:54:33,05:54:43,G00465,12,0,,,0
10D-R01,06:47:25,06:47:35,G00318,13,0,,,0
10D-R01,06:52:09,06:52:19,G00316,14,0,,,0
10D-R01,06:54:59,06:55:09,G00314,15,0,,,0
10D-R01,06:59:33,06:59:43,G00313,16,0,,,0
10D-R01,07:13:41,07:13:51,G00308,17,0,,,0
10D-R02,05:00:00,05:00:10,G00308,0,0,,,0
10D-R02,05:05:22,05:05:32,G00312,1,0,,,0
10D-R02,05:10:11,05:10:21,G00315,2,0,,,0
10D-R02,05:13:25,05:13:35,G00317,3,0,,,0
10D-R02,05:18:07,05:18:17,G00319,4,0,,,0
10D-R02,06:10:52,06:11:02,G00463,5,0,,,0
10D-R02,06:13:30,06:13:40,G00467,6,0,,,0
10D-R02,06:16:25,06:16:35,G00471,7,0,,,0
10D-R02,06:21:58,06:22:08,G00475,8,0,,,0
10D-R02,06:23:34,06:23:44,G00481,9,0,,,0
10D-R02,06:28:16,06:28:26,G00483,10,0,,,0
10D-R02,06:30:47,06:30:57,G00487,11,0,,,0
10D-R02,06:41:54,06:42:04,G00492,12,0,,,0
10D-R02,06:49:43,06:49:53,G00496,13,0,,,0
10D-R02,06:54:51,06:55:01,G00499,14,0,,,0
10D-R02,06:57:24,06:57:34,G00505,15,0,,,0
10D-R02,06:59:58,07:00:08,G00507,16,0,,,0
10D-R02,07:07:26,07:07:36,G00511,17,0,,,0
10H-R07,05:00:00,05:00:10,G00511,0,0,,,0
10H-R07,05:31:44,05:31:54,G00240,1,0,,,0
10H-R07,05:33:32,05:33:42,G00238,2,0,,,0
10H-R07,05:38:54,05:39:04,G00236,3,0,,,0
