stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,parent_station,platform_code
B00001P,,18 Office Park,,-6.299146,106.832100,1,,0,2,,
B00002P,,ABA,,-6.194149,106.839390,1,,0,2,,
B00003P,,Acacia Residence,,-6.263358,106.756750,1,,0,2,,
B00004P,,ACC Simatupang,,-6.304475,106.848580,1,,0,2,,
B00005P,,ACE Hardware,,-6.387532,106.827380,1,,0,2,,
B00006P,,ACE Hardware Kelapa Gading,,-6.157009,106.899050,1,,0,2,,
B00008P,,Adam Malik 1,,-6.236396,106.747760,1,,0,2,,
B00011P,,Agrowisata Cilangkap,,-6.339786,106.901300,1,,0,2,,
B00013P,,Ahmad Yani Pisangan Baru,,-6.211477,106.873740,1,,0,2,,
B00014P,,Airy Eco Binus,,-6.195282,106.788810,1,,0,2,,
B00015P,,Akademi Farmasi Mahadhika,,-6.312819,106.869300,1,,0,2,,
B00016P,,Akbid Yaspen Tugu Ibu,,-6.360213,106.883500,1,,0,2,,
B00017P,,Akper Fatmawati Pondok Labu,,-6.313187,106.799310,1,,0,2,,
B00018P,,AKR Tower,,-6.190732,106.767430,1,,0,2,,
B00019P,,Akses Bawah Flyover Raya Bogor,,-6.307687,106.864560,1,,0,2,,
B00020P,,Akses Bawah Jembatan Marunda,,-6.110376,106.941290,1,,0,2,,
B00021P,,Akses Bawah Sungai Landak,,-6.109857,106.941340,1,,0,2,,
B00022P,,Akses Jembatan Ciliwung Balekambang,,-6.283554,106.849450,1,,0,2,,
B00026P,,Al Izhar Pondok Labu 1,,-6.311534,106.790940,1,,0,2,,
B00027P,,Al Izhar Pondok Labu 2,,-6.311504,106.791040,1,,0,2,,
B00028P,,Al Khairiyah School,,-6.236593,106.917600,1,,0,2,,
B00029P,,Al Mahbubiyah,,-6.291866,106.812550,1,,0,2,,
B00031P,,Al Wathoniyah 1,,-6.192036,106.935300,1,,0,2,,
B00032P,,Al Wathoniyah 2,,-6.192425,106.935680,1,,0,2,,
B00033P,,Aljabr Islamic School,,-6.308023,106.803710,1,,0,2,,
B00034P,,Allianz,,-6.209233,106.830760,1,,0,2,,
B00036P,,Ampera 2,,-6.292641,106.815630,1,,0,2,,
B00037P,,Ampera 3,,-6.291196,106.817060,1,,0,2,,
B00038P,,Ampera 4,,-6.291345,106.817200,1,,0,2,,
B00039P,,Ampera Garden,,-6.288794,106.818180,1,,0,2,,
B00040P,,Ampera Yos Sudarso,,-6.122624,106.893220,1,,0,2,,
B00041P,,Ananda Pulo Gadung,,-6.185254,106.907160,1,,0,2,,
B00042P,,Andara Margasatwa 1,,-6.313471,106.803690,1,,0,2,,
B00043P,,Andara Margasatwa 2,,-6.313577,106.803560,1,,0,2,,
B00044P,,Andara Margasatwa 3,,-6.312832,106.803380,1,,0,2,,
B00045P,,Andara Margasatwa 4,,-6.312578,106.803560,1,,0,2,,
B00046P,,Aneka Apotek,,-6.151647,106.879590,1,,0,2,,
