route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
10A,SH,10A-L01,Tanjung Priok dan Rusun Marunda,0,,10A-L01_shp,Rusun Marunda - Tanjung Priok - Rusun Marunda
10B,SH,10B-R01,Halim,0,,10B-R01_shp,Rusun Cipinang Besar Selatan - Halim
10B,SH,10B-R02,Rusun Cipinang Besar Selatan,1,,10B-R02_shp,Halim - Rusun Cipinang Besar Selatan
10D,SH,10D-R01,Kampung Rambutan,0,,10D-R01_shp,Tanjung Priok - Kampung Rambutan
10D,SH,10D-R02,Tanjung Priok,1,,10D-R02_shp,Kampung Rambutan - Tanjung Priok
10H,SH,10H-L04,Bundaran Senayan dan Tanjung Priok,0,,zc5r,Tanjung Priok - Bundaran Senayan - Tanjung Priok
10H,SH,10H-R07,Bundaran Senayan,0,,10H-R07_shp,Tanjung Priok - Bundaran Senayan
10H,SH,10H-R09,Tanjung Priok,1,,5g0l,Bundaran Senayan - Tanjung Priok
10,SH,10-P21,Halim dan Tanjung Priok,0,,10-P21_shp,Tanjung Priok - Halim - Tanjung Priok
10,SH,10-P22,Sunter Kelapa Gading dan PGC,0,,10-P22_shp,PGC - Sunter Kelapa Gading - PGC
10,SH,10-P23,Walikota Jakut dan PGC,0,,10-P23_shp,PGC - Walikota Jakut - PGC
10,SH,10-R01,PGC,0,,10-R01_shp,Tanjung Priok - PGC
10,SH,10-R02,Tanjung Priok,1,,10-R02_shp,PGC - Tanjung Priok
11B,SH,11B-R01,Penggilingan,0,,11B-R01_shp,Rusun Rawa Bebek - Penggilingan
11B,SH,11B-R02,Rusun Rawa Bebek,1,,11B-R02_shp,Penggilingan - Rusun Rawa Bebek
11D,SH,11D-R02,Pulo Gebang via PIK,1,,11D-R02_shp,Pulo Gadung - Pulo Gebang via PIK
11D,SH,11D-R03,Pulo Gadung via PIK,0,,11D-R03_shp,Pulo Gebang - Pulo Gadung via PIK
11M,SH,11M-L01,Bukit Duri dan Rusun Rawa Bebek,0,,11M-L01_shp,Rusun Rawa Bebek - Bukit Duri - Rusun Rawa Bebek
11P,SH,11P-R01,Walikota Jakarta Timur,0,,11P-R01_shp,Rusun Pondok Bambu - Walikota Jakarta Timur
11P,SH,11P-R02,Rusun Pondok Bambu,1,,11P-R02_shp,Walikota Jakarta Timur - Rusun Pondok Bambu
11Q,SH,11Q-L04,Kampung Melayu dan Pulo Gebang,0,,11Q-L04_shp,Pulo Gebang - Kampung Melayu - Pulo Gebang
11Q,SH,11Q-R05,Kampung Melayu via BKT,0,,11Q-R05_shp,Pulo Gebang - Kampung Melayu via BKT
11Q,SH,11Q-R06,Pulo Gebang via BKT,1,,11Q-R06_shp,Kampung Melayu - Pulo Gebang via BKT
11,SH,11-R02,Pulo Gebang,1,,11-R02_shp,Kampung Melayu - Pulo Gebang
11,SH,11-R03,Kampung Melayu,0,,11-R03_shp,Pulo Gebang - Kampung Melayu
12A,SH,12A-L02,Kota dan Kali Adem,0,,12A-L02_shp,Kali Adem - Kota - Kali Adem
12A,SH,12A-R03,Kota,0,,12A-R03_shp,Kali Adem - Kota
12B,SH,12B-R03,Senen,0,,12B-R03_shp,Pluit - Senen
12B,SH,12B-R04,Pluit,1,,12B-R04_shp,Senen - Pluit
12C,SH,12C-R01,Penjaringan,0,,12C-R01_shp,Rusun Waduk Pluit - Penjaringan
12C,SH,12C-R02,Rusun Waduk Pluit,1,,12C-R02_shp,Penjaringan - Rusun Waduk Pluit
12F,SH,12F-L01,Rusun Waduk Pluit dan Rusun Marunda,0,,12F-L01_shp,Rusun Marunda - Rusun Waduk Pluit - Rusun Marunda
12H,SH,12H-R01,Penjaringan,0,,12H-R01_shp,Rusun Penjaringan - Penjaringan
12H,SH,12H-R02,Rusun Penjaringan,1,,12H-R02_shp,Penjaringan - Rusun Penjaringan
12,SH,12-L01,Kota dan Sunter Boulevard Barat,0,,12-L01_shp,Sunter Boulevard Barat - Kota - Sunter Boulevard Barat
12,SH,12-P03,Pluit,0,,12-P03_shp,Sunter Boulevard Barat - Pluit
12P,SH,12P-L01,St. LRT Pegangsaan Dua dan JIS,0,,12P-L01_shp,JIS - St. LRT Pegangsaan Dua - JIS
12P,SH,12P-R01,JIS,0,,12P-R01_shp,St. LRT Pegangsaan Dua - JIS
12P,SH,12P-R02,St. LRT Pegangsaan Dua,1,,12P-R02_shp,JIS - St. LRT Pegangsaan Dua
12,SH,12-R01,Sunter Boulevard Barat,0,,12-R01_shp,Penjaringan - Sunter Boulevard Barat
12,SH,12-R02,Penjaringan,1,,12-R02_shp,Sunter Boulevard Barat - Penjaringan
12,SH,12-R03,Pluit,0,,12-R03_shp,Tanjung Priok - Pluit
12,SH,12-R04,Tanjung Priok,1,,12-R04_shp,Pluit - Tanjung Priok
13,SH,13-L01,Tegal Mampang dan Ciledug,0,,13-L01_shp,Ciledug - Tegal Mampang - Ciledug
13,SH,13-L02,Tegal Mampang dan Puri Beta,0,,13-L02_shp,Puri Beta - Tegal Mampang - Puri Beta
13,SH,13-L03,Rawa Barat dan Puri Beta,0,,13-L03_shp,Puri Beta - Rawa Barat - Puri Beta
13,SH,13-L04,Rawa Barat dan Ciledug,0,,13-L04_shp,Ciledug - Rawa Barat - Ciledug
13,SH,13-L05,JORR dan Tegal Mampang,0,,13-L05_shp,Tegal Mampang - JORR - Tegal Mampang
13,SH,13-L06,CBD Ciledug dan Puri Beta,0,,13-L06_shp,Puri Beta - CBD Ciledug - Puri Beta
13,SH,13-L08,CSW dan Puri Beta,0,,13-L08_shp,Puri Beta - CSW - Puri Beta
13,SH,13-R02,Ciledug,1,,13-R02_shp,Tegal Mampang - Ciledug
14A,SH,14A-L01,Juanda dan Jakarta International Stadium,0,,14A-L01_shp,Jakarta International Stadium - Juanda - Jakarta International Stadium
14A,SH,14A-R02,Jakarta International Stadium,1,,14A-R02_shp,Juanda - Jakarta International Stadium
14B,SH,14B-L01,Senen dan Tanjung Priok via JIS,0,,14B-L01_shp,Tanjung Priok - Senen - Tanjung Priok via JIS
14B,SH,14B-R01,Senen via JIS,0,,14B-R01_shp,Tanjung Priok - Senen via JIS
14B,SH,14B-R02,Tanjung Priok via JIS,1,,14B-R02_shp,Senen - Tanjung Priok via JIS
14,SH,14-L02,Senen dan JIS,0,,vayy,JIS - Senen - JIS
14,SH,14-R05,Senen,0,,14-R05_shp,JIS - Senen
14,SH,14-R07,JIS,1,,x8ux,Senen - JIS
1B,XSH_1B,1B-L01,Tosari dan Stasiun Palmerah,0,,1B-L01_shp,Stasiun Palmerah - Tosari - Stasiun Palmerah
1C,SH,1C-R01,Blok M,0,,1C-R01_shp,Bintaro - Blok M
1C,SH,1C-R02,Pesanggrahan,1,,1C-R02_shp,Blok M - Pesanggrahan
1E,SH,1E-R01,Blok M,0,,1E-R01_shp,Pondok Labu - Blok M
1E,SH,1E-R02,Pondok Labu,1,,1E-R02_shp,Blok M - Pondok Labu
1F,SH,1F-L01,Bundaran Senayan dan Stasiun Palmerah,0,,1F-L01_shp,Stasiun Palmerah - Bundaran Senayan - Stasiun Palmerah
1H,SH,1H-L01,Stasiun Gondangdia dan Tanah Abang,0,,1H-L01_shp,Tanah Abang - Stasiun Gondangdia - Tanah Abang
1H,SH,1H-L02,Godangdia dan Tanah Abang,0,,1H-L02_shp,Tanah Abang - Godangdia - Tanah Abang
1H,SH,1H-R01,Tanah Abang,0,,1H-R01_shp,Stasiun Gondangdia - Tanah Abang
1H,SH,1H-R02,Gondangdia,1,,1H-R02_shp,Tanah Abang - Gondangdia
1K,HK,1K-R01,Blok M,0,,1K-R01_shp,Cibubur - Blok M
1K,HK,1K-R02,Cibubur,1,,1K-R02_shp,Blok M - Cibubur
1M,SH,1M-R01,Blok M,0,,1M-R01_shp,Meruya - Blok M
1M,SH,1M-R02,Meruya,1,,1M-R02_shp,Blok M - Meruya
1N,SH,1N-P22,Bundaran Senayan dan Tanah Abang,0,,1N-P22_shp,Tanah Abang - Bundaran Senayan - Tanah Abang
1N,SH,1N-R05,Blok M,0,,1N-R05_shp,Tanah Abang - Blok M
1N,SH,1N-R06,Tanah Abang,1,,1N-R06_shp,Blok M - Tanah Abang
1,SH,1-P23,Tosari dan Blok M,0,,1-P23_shp,Blok M - Tosari - Blok M
1,SH,1-P28,Monas dan Blok M,0,,1-P28_shp,Blok M - Monas - Blok M
1,SH,1-P33,Taman Sari dan Blok M,0,,1-P33_shp,Blok M - Taman Sari - Blok M
1,SH,1-P34,Bundaran Senayan dan Kali Besar Barat,0,,1-P34_shp,Kali Besar Barat - Bundaran Senayan - Kali Besar Barat
1,SH,1-P36,Bundaran HI dan Kali Besar Barat,0,,1-P36_shp,Kali Besar Barat - Bundaran HI - Kali Besar Barat
1,SH,1-P37,Monas dan Kali Besar Barat,0,,1-P37_shp,Kali Besar Barat - Monas - Kali Besar Barat
1,SH,1-P38,Kali Besar Barat via Kebon Sirih,0,,1-P38_shp,Blok M - Kali Besar Barat via Kebon Sirih
1,SH,1-P39,Blok M via Cideng,1,,1-P39_shp,Kali Besar Barat - Blok M via Cideng
1P,SH,1P-L01,Bundaran Senayan dan Senen,0,,1P-L01_shp,Senen - Bundaran Senayan - Senen
1P,SH,1P-L02,Blok M dan Senen,0,,1P-L02_shp,Senen - Blok M - Senen
1P,SH,1P-R04,Senen,1,,1P-R04_shp,Blok M - Senen
1P,SH,1P-R05,Blok M,0,,387b,Senen - Blok M
1P,SH,1P-R06,Senen,1,,w31b,Blok M - Senen
1P,SH,1P-R07,Senen,1,,5a6n,Blok M - Senen
1Q,SH,1Q-R01,Blok M,0,,1Q-R01_shp,Rempoa - Blok M
1Q,SH,1Q-R02,Rempoa,1,,1Q-R02_shp,Blok M - Rempoa
1,SH,1-R07,Kali Besar Barat,0,,1-R07_shp,Blok M - Kali Besar Barat
1,SH,1-R08,Blok M,1,,1-R08_shp,Kali Besar Barat - Blok M
1R,SH,1R-L03,Explorer Tanah Abang dan Senen,0,,1R-L03_shp,Senen - Explorer Tanah Abang - Senen
1R,SH,1R-L04,Tanah Abang dan Senen,0,,1R-L04_shp,Senen - Tanah Abang - Senen
1T,HK,1T-L02,Balai Kota dan Cibubur,0,,1T-L02_shp,Cibubur - Balai Kota - Cibubur
2A,SH,2A-L02,Rawa Buaya dan Pulo Gadung,0,,2A-L02_shp,Pulo Gadung - Rawa Buaya - Pulo Gadung
2A,SH,2A-L03,Rawa Buaya dan Pulo Gadung via Juanda,0,,2A-L03_shp,Pulo Gadung - Rawa Buaya - Pulo Gadung via Juanda
2A,SH,2A-R04,Pulo Gadung 1,1,,2A-R04_shp,Rawa Buaya - Pulo Gadung 1
2B,SH,2B-L03,Pulo Gadung dan Harapan Indah,0,,2B-L03_shp,Harapan Indah - Pulo Gadung - Harapan Indah
2B,HM,2B-L04,Pulo Gadung dan Harapan Indah,0,,pkfq,Harapan Indah - Pulo Gadung - Harapan Indah
2B,SH,2B-R05,Pulo Gadung,0,,2B-R05_shp,Transera Harapan Indah - Pulo Gadung
2B,SH,2B-R06,Transera Harapan Indah,1,,2B-R06_shp,Pulo Gadung - Transera Harapan Indah
2E,SH,2E-R05,Rusun Pulo Gebang via Penggilingan,0,,2E-R05_shp,Rusun Rawa Bebek - Rusun Pulo Gebang via Penggilingan
2E,SH,2E-R06,Rusun Rawa Bebek,1,,2E-R06_shp,Rusun Pulo Gebang - Rusun Rawa Bebek
2F,SH,2F-L03,Pulo Gadung dan Rusun Cakung Barat Albo,0,,2F-L03_shp,Rusun Cakung Barat Albo - Pulo Gadung - Rusun Cakung Barat Albo
2H,SH,2H-R03,Senen,0,,2H-R03_shp,Rusun Jati Rawasari - Senen
2H,SH,2H-R04,Rusun Jati Rawasari,1,,2H-R04_shp,Senen - Rusun Jati Rawasari
2,SH,2-L02,Monas dan Pulo Gadung,0,,2-L02_shp,Pulo Gadung - Monas - Pulo Gadung
2,SH,2-L04,Monas dan Pulo Gadung,0,,2-L04_shp,Pulo Gadung - Monas - Pulo Gadung (Demo)
2,SH,2-L05,Pecenongan dan Pulo Gadung,0,,3261,Pulo Gadung - Pecenongan - Pulo Gadung
2P,XSH_2P,2P-L02,Gondangdia dan Senen,0,,2P-L02_shp,Senen - Gondangdia - Senen
